mode,impl,N,B,d,k,median_ms,p95_ms,runs,max_abs_err,indices_match,device,seed
persistent,cpu_numpy,100000,8,384,5,224.7634,243.8479,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v3_topk,100000,8,384,5,7.5463,7.5672,15,1.192e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v4_batch,100000,8,384,5,1.9638,1.9731,15,1.192e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v5_regblock,100000,8,384,5,1.2534,1.2589,15,1.192e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,cublas,100000,8,384,5,3.9218,5.0774,15,1.341e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,torch_gpu,100000,8,384,5,1.6136,1.643,15,1.341e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,cpu_numpy,100000,32,384,5,523.0025,690.579,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v3_topk,100000,32,384,5,21.2139,26.9674,15,1.788e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v4_batch,100000,32,384,5,5.0978,5.2058,15,1.788e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v5_regblock,100000,32,384,5,3.497,3.5292,15,1.788e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,cublas,100000,32,384,5,9.7264,9.9558,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,torch_gpu,100000,32,384,5,1.8803,1.991,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v3_topk,1000000,1,384,5,9.8521,10.0279,15,1.490e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v4_batch,1000000,1,384,5,8.9052,10.2916,15,1.490e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v5_regblock,1000000,1,384,5,7.7345,7.8175,15,1.490e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,cublas,1000000,1,384,5,9.1524,9.411,15,2.980e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,torch_gpu,1000000,1,384,5,6.4486,6.476,15,2.980e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v3_topk,1000000,8,384,5,52.3258,52.6627,15,1.490e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v4_batch,1000000,8,384,5,12.5857,12.8733,15,1.490e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v5_regblock,1000000,8,384,5,9.0902,9.3404,15,1.490e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,cublas,1000000,8,384,5,33.2599,34.4046,15,1.341e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,torch_gpu,1000000,8,384,5,13.4839,13.5156,15,1.341e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v3_topk,1000000,32,384,5,205.2115,205.7041,15,1.490e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v4_batch,1000000,32,384,5,49.6612,50.2717,15,1.490e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v5_regblock,1000000,32,384,5,37.9749,38.5073,15,1.490e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,cublas,1000000,32,384,5,98.0131,159.404,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,torch_gpu,1000000,32,384,5,17.9748,18.8726,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
